category,season,store_count,discount_percent,footfall,avg_price,sales
Home,Monsoon,21,5.97,388,47141.94,33115.05
Grocery,Monsoon,30,2.61,823,39280.96,27200.71
Electronics,Winter,7,27.39,2419,49567.26,37882.32
Home,Monsoon,18,9.29,2053,27269.67,28636.5
Home,Summer,4,6.22,1189,48142.14,31796.51
Home,Winter,2,24.21,582,3872.69,16960.41
Grocery,Summer,14,21.63,1035,18347.47,18007.23
Grocery,Spring,13,22.16,2395,11346.53,14486.52
Fashion,Spring,29,8.01,255,9872.07,29153.87
Home,Spring,12,8.14,1170,7126.07,14819.4
Home,Spring,7,7.73,2058,31158.44,24698.16
Electronics,Summer,2,6.08,2601,39087.96,28964.6
Electronics,Winter,13,22.95,2348,28957.09,34963.95
Fashion,Winter,14,29.68,1783,7433.44,19735.44
Home,Monsoon,27,25.35,223,40575.08,27160.58
Home,Summer,17,27.72,2148,31834.14,21542.78
Electronics,Spring,9,14.17,1067,19469.47,29349.25
Grocery,Summer,17,22.89,954,33739.1,17088.18
Fashion,Monsoon,8,12.4,739,13069.26,15106.52
Home,Monsoon,2,18.39,2338,17325.09,24702.42
Home,Summer,28,16.86,1702,45882.54,33386.19
Home,Summer,24,6.19,2663,14596.17,29839.36
Fashion,Summer,13,13.55,541,23552.41,22255.86
Fashion,Winter,3,33.73,2044,44518.04,27067.14
Fashion,Spring,16,8.7,1938,35415.3,25463.09
Electronics,Summer,6,4.68,1929,3203.94,25080.63
Home,Summer,19,14.65,2290,7450.42,24926.67
Home,Summer,30,27.66,632,491.3,15483.24
Home,Monsoon,7,20.38,2374,31583.0,29070.69
Home,Monsoon,10,23.83,1436,22438.9,21935.65
Grocery,Winter,9,6.64,1048,6800.32,14570.19
Home,Spring,2,21.66,2119,47900.91,31679.94
Home,Winter,28,11.32,559,26530.02,24979.41
Home,Spring,28,29.2,650,12170.48,19163.03
Electronics,Monsoon,15,22.03,492,25080.12,23483.43
Fashion,Monsoon,30,6.96,1887,34013.05,30165.21
Electronics,Monsoon,5,2.26,944,3904.34,22528.53
Home,Winter,29,1.49,2357,13807.72,27018.9
Grocery,Summer,22,13.0,1238,40367.58,23500.54
Electronics,Summer,4,9.3,745,23037.28,23139.59
Grocery,Monsoon,20,22.61,2366,27374.2,20017.68
Grocery,Summer,4,17.48,2554,21697.52,14033.21
Fashion,Summer,18,9.31,1566,2290.61,18642.15
Electronics,Winter,4,5.22,1477,8370.91,19332.65
Grocery,Spring,27,4.45,2705,22332.53,24063.3
Grocery,Monsoon,17,30.26,2697,10538.35,16453.61
Home,Monsoon,12,8.52,241,2593.95,18061.9
Grocery,Winter,22,22.81,2759,42198.12,25455.31
Home,Winter,17,28.37,600,49061.51,24149.78
Grocery,Summer,10,21.49,939,39677.83,18479.39
Grocery,Monsoon,22,30.08,2849,42703.87,25194.75
Home,Spring,1,13.73,1782,12174.66,23784.82
Fashion,Winter,22,33.47,1665,48035.29,25153.18
Electronics,Spring,26,4.66,2146,9926.59,29810.33
Electronics,Spring,24,3.58,1630,47576.35,38598.62
Home,Monsoon,27,23.05,695,49741.48,31277.27
Grocery,Monsoon,18,33.0,2004,35614.97,20557.25
Grocery,Winter,18,28.31,380,49059.07,14910.85
Electronics,Monsoon,14,2.67,523,28520.04,26849.04
Electronics,Monsoon,15,9.78,369,13051.13,27851.75
Electronics,Monsoon,29,32.56,253,21906.09,26801.8
Fashion,Spring,12,8.86,2761,29718.69,28011.97
Grocery,Winter,4,27.34,1850,3746.77,9776.53
Fashion,Summer,27,28.88,761,31154.93,19469.03
Fashion,Spring,3,17.34,2067,49060.77,26713.72
Home,Monsoon,20,13.52,182,9586.37,12017.48
Fashion,Spring,29,15.75,1549,39650.5,31244.68
Grocery,Monsoon,12,7.94,1398,45404.15,19884.05
Home,Monsoon,7,31.13,2431,47190.71,28254.46
Fashion,Spring,29,15.77,1079,48010.77,22243.38
Grocery,Winter,11,30.89,2320,26120.84,19731.08
Home,Monsoon,1,3.7,2910,48867.66,27026.37
Home,Winter,6,34.59,1759,37889.78,17130.5
Electronics,Summer,15,15.51,1498,8167.4,28296.08
Home,Monsoon,15,1.67,732,23897.32,27560.27
Fashion,Winter,19,1.33,1631,35944.73,32263.8
Fashion,Winter,11,26.12,886,12442.28,19478.82
Fashion,Summer,26,23.07,497,32066.7,21710.05
Home,Winter,23,28.07,1243,33363.36,29522.56
Fashion,Winter,26,3.69,1033,8218.72,25862.0
Fashion,Summer,2,1.24,1560,28297.76,22917.18
Grocery,Monsoon,14,17.8,1952,38604.18,18610.06
Electronics,Winter,2,13.57,2823,24994.89,30419.03
Electronics,Winter,29,16.17,2612,703.95,37569.11
Electronics,Winter,4,34.71,385,551.02,17454.82
Electronics,Spring,17,33.98,364,17915.76,11321.22
Electronics,Summer,3,32.98,2467,46317.08,28834.53
Electronics,Spring,13,27.43,2820,11510.97,27606.44
Grocery,Summer,9,12.42,2967,31754.75,28702.23
Electronics,Monsoon,7,14.42,2236,11181.59,25675.62
Fashion,Monsoon,15,19.24,1777,16151.33,24241.0
Home,Winter,23,29.07,1326,42417.3,27037.84
Fashion,Summer,29,2.4,920,36470.19,20890.42
Grocery,Monsoon,29,14.85,1862,4860.42,16709.23
Electronics,Summer,11,2.89,2481,21492.23,33853.6
Electronics,Monsoon,20,18.01,2369,1555.57,28299.05
Electronics,Spring,2,31.46,140,24096.42,16259.53
