city,plan,satisfaction_score,support_calls,orders_last_6m,tenure_months,days_since_last_order,churn
Hyderabad,Basic,3.14,2,14,53,135,No
Delhi,Standard,3.87,6,10,52,13,No
Chennai,Standard,2.77,3,9,17,4,No
Hyderabad,Standard,4.76,3,7,31,178,No
Chennai,Basic,2.18,5,5,15,3,No
Bengaluru,Premium,2.9,8,7,57,140,No
Mumbai,Premium,4.03,3,7,20,65,Yes
Mumbai,Basic,3.76,2,4,5,27,No
Mumbai,Basic,4.45,2,6,7,107,No
Chennai,Basic,4.99,3,8,18,50,No
Chennai,Premium,2.71,6,6,56,17,No
Delhi,Standard,1.44,3,6,11,32,No
Mumbai,Standard,1.12,4,12,32,179,No
Delhi,Standard,3.91,4,8,50,17,No
Mumbai,Standard,4.5,3,6,27,34,No
Delhi,Basic,1.88,4,8,26,35,No
Delhi,Standard,1.63,5,8,37,152,No
Bengaluru,Standard,1.25,6,10,45,146,No
Delhi,Premium,4.29,3,9,28,50,No
Chennai,Premium,2.25,4,9,50,174,Yes
Delhi,Premium,2.61,6,14,2,176,Yes
Mumbai,Standard,3.01,2,9,20,103,Yes
Delhi,Standard,4.36,8,12,4,33,No
Hyderabad,Standard,3.6,3,8,13,89,No
Mumbai,Premium,3.46,1,7,24,155,Yes
Hyderabad,Basic,1.7,4,8,48,129,Yes
Mumbai,Basic,3.05,4,8,38,85,No
Chennai,Basic,3.86,1,12,58,59,No
Chennai,Standard,4.89,1,8,40,10,No
Chennai,Basic,1.81,5,7,48,153,Yes
Hyderabad,Basic,1.04,4,9,45,57,Yes
Bengaluru,Basic,1.3,3,6,55,66,Yes
Mumbai,Basic,2.5,2,7,29,119,Yes
Chennai,Premium,4.28,1,6,58,112,No
Mumbai,Basic,1.03,5,10,36,15,Yes
Hyderabad,Standard,2.83,5,6,2,156,Yes
Bengaluru,Standard,2.32,2,10,41,13,No
Hyderabad,Premium,1.21,4,8,18,114,Yes
Mumbai,Basic,2.8,6,9,49,118,No
Bengaluru,Premium,2.02,2,11,8,142,Yes
Bengaluru,Standard,2.41,4,7,58,114,No
Hyderabad,Premium,3.82,3,10,15,34,Yes
Chennai,Premium,3.09,4,7,41,101,Yes
